"","x"
"1",NA
"2",NA
"3",1.24725001314716
"4",0.619691022729956
"5",0.417579168276874
"6",0.208239887206033
"7",0.718077190762484
"8",1.34412245825327
"9",0.661599567521644
"10",1.17769219510432
"11",0.507110507663133
"12",0.770887936506522
"13",1.10182203947356
"14",0.356860075126218
"15",0.487825708156974
"16",0.258356224128334
